"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","540","DELETE- /v2/store/order/1- DELETE Order","tests","Wed Jun 11 22:25:31 TRT 2025","passed","Wed Jun 11 22:25:31 TRT 2025","","test_store","",""
"","967","GET - /v2/pet/findByStatus- Pets by All Status ","tests","Wed Jun 11 22:25:26 TRT 2025","passed","Wed Jun 11 22:25:27 TRT 2025","","test_pet","",""
"","533","POST -/v2/user- Create User","tests","Wed Jun 11 22:25:33 TRT 2025","passed","Wed Jun 11 22:25:33 TRT 2025","","test_user","",""
"","525","DELETE -/v2/pet/1-Delete Pet ID ","tests","Wed Jun 11 22:25:29 TRT 2025","passed","Wed Jun 11 22:25:30 TRT 2025","","test_pet","",""
"","529","POST- /v2/store/order- Create Order","tests","Wed Jun 11 22:25:30 TRT 2025","passed","Wed Jun 11 22:25:30 TRT 2025","","test_store","",""
"","552","DELETE-/v2/user/sevaltansuu -Delete User ","tests","Wed Jun 11 22:25:34 TRT 2025","failed","Wed Jun 11 22:25:35 TRT 2025","","test_user","",""
"","539","GET -/v2/user/login- Login","tests","Wed Jun 11 22:25:35 TRT 2025","passed","Wed Jun 11 22:25:35 TRT 2025","","test_user","",""
"Var olan bir kullanıcı güncelleniyor ","565","PUT -/v2/user/sevaltansu- Update User","tests","Wed Jun 11 22:25:34 TRT 2025","passed","Wed Jun 11 22:25:34 TRT 2025","","test_user","",""
"","614","GET -/v2/user/logout- Logout","tests","Wed Jun 11 22:25:35 TRT 2025","passed","Wed Jun 11 22:25:36 TRT 2025","","test_user","",""
"","529","GET- /v2/store/inventory- GET Inventory","tests","Wed Jun 11 22:25:32 TRT 2025","passed","Wed Jun 11 22:25:33 TRT 2025","","test_store","",""
"","622","POST-/v2/pet-Create PetID","tests","Wed Jun 11 22:25:25 TRT 2025","passed","Wed Jun 11 22:25:25 TRT 2025","","test_pet","",""
"","541","GET- Pet Control","tests","Wed Jun 11 22:25:29 TRT 2025","failed","Wed Jun 11 22:25:29 TRT 2025","","test_pet","",""
"","544","GET- /v2/store/order/1- GET Order","tests","Wed Jun 11 22:25:30 TRT 2025","failed","Wed Jun 11 22:25:31 TRT 2025","","test_store","",""
"","529","GET-/v2/pet/- Pet ID","tests","Wed Jun 11 22:25:25 TRT 2025","failed","Wed Jun 11 22:25:26 TRT 2025","","test_pet","",""
"","546","PUT- /v2/pet- Update","tests","Wed Jun 11 22:25:28 TRT 2025","passed","Wed Jun 11 22:25:29 TRT 2025","","test_pet","",""
"","531","GET - /v2/pet/findByStatus- Pets by All Status ","tests","Wed Jun 11 22:25:28 TRT 2025","passed","Wed Jun 11 22:25:28 TRT 2025","","test_pet","",""
"Silinen order hala duruyorsa yazdır","530","GET- /v2/store/order/1- Control Order","tests","Wed Jun 11 22:25:31 TRT 2025","passed","Wed Jun 11 22:25:32 TRT 2025","","test_store","",""
"","563","GET - /v2/pet/findByStatus- Pets by All Status ","tests","Wed Jun 11 22:25:27 TRT 2025","passed","Wed Jun 11 22:25:28 TRT 2025","","test_pet","",""
"","531","GET -/v2/user/sevaltansu- Get User","tests","Wed Jun 11 22:25:33 TRT 2025","failed","Wed Jun 11 22:25:34 TRT 2025","","test_user","",""
